State,County,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
AR,Craighead,944,105835,891.95,876.84,0.03%
AR,Crawford,648,62267,1040.68,898.99,0.02%
AR,Crittenden,515,49235,1046,1044.09,0.02%
AR,Cross,244,17037,1432.18,1103.84,0.01%
AR,Dallas,125,7469,1673.58,1090.61,0.00%
AR,Desha,163,11876,1372.52,1083.91,0.01%
AR,Drew,230,18651,1233.18,994.06,0.01%
AR,Faulkner,976,122227,798.51,895.39,0.04%
AR,Franklin,255,17626,1446.73,1103.27,0.01%
AR,Fulton,151,12123,1245.57,722.21,0.01%
AR,Garland,1379,97477,1414.69,950.27,0.05%
AR,Grant,221,18082,1222.21,993.59,0.01%
AR,Greene,490,44598,1098.7,994.11,0.02%
AR,Hempstead,226,21974,1028.49,804.06,0.01%
AR,Hot Spring,433,33374,1297.42,1012.23,0.02%
AR,Howard,155,13377,1158.71,897.2,0.01%
AR,Independence,434,37168,1167.67,915.8,0.02%
AR,Izard,182,13433,1354.87,809.71,0.01%
AR,Jackson,238,17221,1382.03,1120.18,0.01%
AR,Jefferson,859,70016,1226.86,1044.01,0.03%
AR,Johnson,258,26176,985.64,847.82,0.01%
AR,Lafayette,109,6847,1591.94,1060.02,0.00%
AR,Lawrence,260,16735,1553.63,1089.35,0.01%
AR,Lee,107,9310,1149.3,857.96,0.00%
AR,Lincoln,142,13705,1036.12,930.12,0.01%
AR,Little River,184,12451,1477.79,1105.76,0.01%
AR,Logan,254,21792,1165.57,829.95,0.01%
AR,Lonoke,701,72228,970.54,985.39,0.03%
AR,Madison,192,16072,1194.62,958,0.01%
AR,Marion,258,16325,1580.4,920.86,0.01%
AR,Miller,522,43787,1192.13,1028.44,0.02%
AR,Mississippi,514,42835,1199.95,1116.11,0.02%
AR,Monroe,143,7169,1994.7,1323.58,0.01%
AR,Montgomery,154,8879,1734.43,962.79,0.01%
AR,Nevada,130,8398,1547.99,1079.27,0.00%
AR,Newton,81,7936,1020.67,668.25,0.00%
AR,Ouachita,345,24098,1431.65,1019.58,0.01%
AR,Perry,131,10132,1292.93,987.23,0.00%
AR,Phillips,254,18975,1338.6,1101.12,0.01%
AR,Pike,113,10832,1043.21,784.64,0.00%
AR,Poinsett,348,24023,1448.61,1176.64,0.01%
AR,Polk,243,20173,1204.58,828.6,0.01%
AR,Pope,587,63779,920.37,851.73,0.02%
AR,Prairie,105,8251,1272.57,823.9,0.00%
AR,Pulaski,3663,393250,931.47,839.27,0.13%
AR,Randolph,230,17448,1318.2,914.31,0.01%
AR,Saline,1104,118703,930.05,770.13,0.04%
AR,Scott,148,10277,1440.11,1113.18,0.01%
AR,Searcy,133,7967,1669.39,1033.01,0.00%
AR,Sebastian,1288,127793,1007.88,883.78,0.05%
AR,Sevier,163,16910,963.93,921.45,0.01%
AR,Sharp,285,17157,1661.13,1019.38,0.01%
AR,St. Francis,282,26196,1076.5,971.26,0.01%
AR,Stone,173,12539,1379.7,811.15,0.01%
AR,Union,514,39887,1288.64,1003.51,0.02%
AR,Van Buren,244,16628,1467.4,852.03,0.01%
AR,Washington,1603,228049,702.92,787.37,0.06%
AR,White,841,79263,1061.02,928.98,0.03%
AR,Woodruff,114,6641,1716.61,1090.31,0.00%
AR,Yell,259,21552,1201.74,956.66,0.01%
AZ,Apache,681,73112,931.45,931.91,0.02%
AZ,Cochise,1348,125770,1071.8,747.74,0.05%
AZ,Coconino,852,140908,604.65,682.37,0.03%
AZ,Gila,835,53556,1559.12,963.4,0.03%
AZ,Graham,279,37599,742.04,764.06,0.01%
