State,County,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
GA,Muscogee,2094,197485,1060.33,1039.68,0.08%
GA,Newton,808,106999,755.15,804.01,0.03%
GA,Oconee,240,36838,651.5,616.73,0.01%
GA,Oglethorpe,144,14921,965.08,766.35,0.01%
GA,Paulding,877,155825,562.81,720.1,0.03%
GA,Peach,339,26655,1271.81,1252.2,0.01%
GA,Pickens,359,30832,1164.37,878.69,0.01%
GA,Pierce,217,19171,1131.92,961.41,0.01%
GA,Pike,186,17941,1036.73,938.15,0.01%
GA,Polk,506,41776,1211.22,1088.84,0.02%
GA,Pulaski,129,11251,1146.56,795.56,0.00%
GA,Putnam,250,21477,1164.04,823.65,0.01%
GA,Quitman,18,2335,Unreliable,Unreliable,0.00%
GA,Rabun,223,16559,1346.7,850.35,0.01%
GA,Randolph,93,7177,1295.81,811.35,0.00%
GA,Richmond,2031,201647,1007.21,986.79,0.07%
GA,Rockdale,706,89355,790.11,795.61,0.03%
GA,Schley,30,5098,588.47,563.2,0.00%
GA,Screven,143,14044,1018.23,798.44,0.01%
GA,Seminole,148,8468,1747.76,1123.59,0.01%
GA,Spalding,759,64806,1171.19,995.94,0.03%
GA,Stephens,362,25751,1405.77,1147.68,0.01%
GA,Stewart,62,5705,1086.77,935.14,0.00%
GA,Sumter,373,30389,1227.42,1084.13,0.01%
GA,Talbot,80,6171,1296.39,857.89,0.00%
GA,Taliaferro,20,1593,1255.49,659.38,0.00%
GA,Tattnall,247,25092,984.38,1026.9,0.01%
GA,Taylor,102,8232,1239.07,887.95,0.00%
GA,Telfair,158,15965,989.66,771.88,0.01%
GA,Terrell,102,8967,1137.5,833.75,0.00%
GA,Thomas,517,45248,1142.59,895.25,0.02%
GA,Tift,420,40828,1028.71,949.31,0.02%
GA,Toombs,317,27196,1165.61,1002.76,0.01%
GA,Towns,194,11391,1703.1,860.21,0.01%
GA,Treutlen,72,6637,1084.83,903.54,0.00%
GA,Troup,725,70005,1035.64,958.01,0.03%
GA,Turner,111,8030,1382.32,998.8,0.00%
GA,Twiggs,105,8171,1285.03,1001.71,0.00%
GA,Union,295,22928,1286.64,663.23,0.01%
GA,Upson,354,26335,1344.22,1028.41,0.01%
GA,Walker,884,67896,1301.99,1048.69,0.03%
GA,Walton,857,90184,950.28,875.54,0.03%
GA,Ware,449,35738,1256.37,994.56,0.02%
GA,Warren,79,5442,1451.67,1015.92,0.00%
GA,Washington,253,20457,1236.74,983.41,0.01%
GA,Wayne,354,30104,1175.92,1059.15,0.01%
GA,Webster,29,2599,1115.81,801.53,0.00%
GA,Wheeler,57,7978,714.46,702.13,0.00%
GA,White,268,28884,927.85,709.55,0.01%
GA,Whitfield,848,104589,810.79,803.85,0.03%
GA,Wilcox,106,8761,1209.91,1000.33,0.00%
GA,Wilkes,143,9805,1458.44,936.54,0.01%
GA,Wilkinson,140,9104,1537.79,1113.12,0.01%
GA,Worth,220,20748,1060.34,856.7,0.01%
HI,Hawaii,1705,198449,859.16,642.95,0.06%
HI,Honolulu,7577,992605,763.34,564.95,0.28%
HI,Kalawao,Suppressed,88,Suppressed,Suppressed,Suppressed
HI,Kauai,555,72029,770.52,582.64,0.02%
HI,Maui,1076,165386,650.6,526.58,0.04%
IA,Adair,105,7092,1480.54,753.92,0.00%
IA,Adams,47,3693,1272.68,858.88,0.00%
IA,Allamakee,152,13884,1094.79,652.65,0.01%
IA,Appanoose,156,12462,1251.81,763.87,0.01%
IA,Audubon,95,5678,1673.12,931.82,0.00%
IA,Benton,223,25699,867.74,624.67,0.01%
IA,Black Hawk,1240,132904,933,768.65,0.05%
IA,Boone,299,26532,1126.94,803.21,0.01%
IA,Bremer,218,24798,879.1,588.84,0.01%
IA,Buchanan,196,20992,933.69,713.64,0.01%
IA,Buena Vista,192,20332,944.32,664.4,0.01%
IA,Butler,190,14791,1284.56,739.7,0.01%
IA,Calhoun,144,9846,1462.52,823.38,0.01%
IA,Carroll,230,20437,1125.41,681.6,0.01%
IA,Cass,191,13157,1451.7,827.34,0.01%
IA,Cedar,199,18454,1078.36,692.82,0.01%
IA,Cerro Gordo,539,43070,1251.45,780.18,0.02%
IA,Cherokee,175,11508,1520.68,758.93,0.01%
IA,Chickasaw,136,12023,1131.17,719.67,0.00%
IA,Clarke,110,9309,1181.65,842.71,0.00%
IA,Clay,170,16333,1040.84,605.76,0.01%
IA,Clayton,193,17590,1097.21,636.48,0.01%
IA,Clinton,577,47309,1219.64,816.77,0.02%
IA,Crawford,165,16940,974.03,700.49,0.01%
IA,Dallas,487,84516,576.22,589.84,0.02%
IA,Davis,94,8860,1060.95,794.44,0.00%
IA,Decatur,86,8141,1056.38,721.62,0.00%
IA,Delaware,170,17327,981.13,621.42,0.01%
IA,Des Moines,478,39739,1202.85,808.46,0.02%
IA,Dickinson,190,17243,1101.9,579.02,0.01%
IA,Dubuque,867,97003,893.79,660.77,0.03%
IA,Emmet,121,9658,1252.85,714.8,0.00%
IA,Fayette,256,20054,1276.55,792.86,0.01%
IA,Floyd,170,15873,1071,624.19,0.01%
IA,Franklin,140,10170,1376.6,781.36,0.01%
IA,Fremont,86,6950,1237.41,788.22,0.00%
IA,Greene,138,9011,1531.46,888.75,0.01%
IA,Grundy,144,12313,1169.5,681.9,0.01%
IA,Guthrie,97,10625,912.94,538.67,0.00%
IA,Hamilton,168,15076,1114.35,679.83,0.01%
IA,Hancock,118,10835,1089.06,654.33,0.00%
IA,Hardin,209,17226,1213.28,687.56,0.01%
IA,Harrison,171,14149,1208.57,753.06,0.01%
IA,Henry,215,19773,1087.34,740.57,0.01%
IA,Howard,103,9332,1103.73,646.32,0.00%
IA,Humboldt,112,9487,1180.56,717.61,0.00%
IA,Ida,103,6985,1474.59,729.62,0.00%
IA,Iowa,174,16311,1066.76,674.18,0.01%
IA,Jackson,187,19472,960.35,620.68,0.01%
IA,Jasper,363,36708,988.89,671.99,0.01%
IA,Jefferson,170,18090,939.75,662.25,0.01%
IA,Johnson,786,146547,536.35,612.49,0.03%
IA,Jones,189,20439,924.7,605.85,0.01%
IA,Keokuk,122,10119,1205.65,737.45,0.00%
IA,Kossuth,174,15114,1151.25,564.11,0.01%
IA,Lee,437,34615,1262.46,893.95,0.02%
IA,Linn,1806,221661,814.76,699.95,0.07%
IA,Louisa,109,11142,978.28,750.59,0.00%
IA,Lucas,111,8647,1283.68,749.9,0.00%
IA,Lyon,97,11754,825.25,546.63,0.00%
IA,Madison,157,15848,990.66,751.3,0.01%
IA,Mahaska,253,22181,1140.62,784.7,0.01%
IA,Marion,334,33189,1006.36,752.12,0.01%
IA,Marshall,472,40312,1170.87,828.41,0.02%
IA,Mills,117,14972,781.46,619.8,0.00%
IA,Mitchell,125,10763,1161.39,573.51,0.00%
IA,Monona,143,8898,1607.1,813.39,0.01%
IA,Monroe,117,7870,1486.66,1009.19,0.00%
IA,Montgomery,125,10225,1222.49,705.69,0.00%
IA,Muscatine,418,42940,973.45,799,0.02%
IA,O'Brien,199,14020,1419.4,759.31,0.01%
IA,Osceola,86,6064,1418.21,853.11,0.00%
IA,Page,213,15391,1383.93,791.92,0.01%
IA,Palo Alto,116,9047,1282.19,673.57,0.00%
IA,Plymouth,241,25200,956.35,636.41,0.01%
IA,Pocahontas,100,6886,1452.22,778.79,0.00%
IA,Polk,3489,474045,736.01,744.41,0.13%
IA,Pottawattamie,938,93582,1002.33,798.47,0.03%
IA,Poweshiek,214,18533,1154.7,720.64,0.01%
IA,Ringgold,84,5068,1657.46,864.67,0.00%
IA,Sac,132,9876,1336.57,706.66,0.00%
IA,Scott,1516,172474,878.97,740.08,0.06%
IA,Shelby,143,11800,1211.86,617.03,0.01%
IA,Sioux,262,34898,750.76,561.45,0.01%
IA,Story,551,97090,567.51,613.29,0.02%
IA,Tama,196,17319,1131.71,726.47,0.01%
IA,Taylor,71,6216,1142.21,640.55,0.00%
IA,Union,151,12420,1215.78,815.74,0.01%
IA,Van Buren,98,7271,1347.82,898.01,0.00%
IA,Wapello,392,34982,1120.58,832.31,0.01%
IA,Warren,421,49691,847.24,717.24,0.02%
IA,Washington,242,22281,1086.13,708.48,0.01%
IA,Wayne,78,6452,1208.93,768.49,0.00%
IA,Webster,435,36769,1183.06,860.36,0.02%
IA,Winnebago,128,10631,1204.03,705.79,0.00%
IA,Winneshiek,201,20561,977.58,610.15,0.01%
IA,Woodbury,928,102779,902.91,814.77,0.03%
IA,Worth,103,7572,1360.27,924.81,0.00%
IA,Wright,159,12779,1244.23,650.56,0.01%
ID,Ada,2994,444028,674.28,655.89,0.11%
ID,Adams,40,3900,1025.64,631.15,0.00%
ID,Bannock,716,84377,848.57,852.5,0.03%
ID,Bear Lake,56,5945,941.97,685.57,0.00%
ID,Benewah,132,9092,1451.83,1059.62,0.00%
ID,Bingham,396,45201,876.09,869.19,0.01%
ID,Blaine,107,21791,491.03,432.24,0.00%
ID,Boise,54,7124,758,574.1,0.00%
ID,Bonner,445,42536,1046.17,705.66,0.02%
ID,Bonneville,875,112232,779.64,795.47,0.03%
ID,Boundary,112,11681,958.82,681.47,0.00%
ID,Butte,25,2501,999.6,771.05,0.00%
ID,Camas,Suppressed,1072,Suppressed,Suppressed,Suppressed
ID,Canyon,1498,211698,707.61,746.11,0.05%
ID,Caribou,63,6887,914.77,724.56,0.00%
ID,Cassia,185,23504,787.1,732.94,0.01%
ID,Clark,Suppressed,860,Suppressed,Suppressed,Suppressed
ID,Clearwater,116,8497,1365.19,873.78,0.00%
ID,Custer,41,4096,1000.98,584.09,0.00%
ID,Elmore,211,26018,810.98,858.36,0.01%
ID,Franklin,96,13406,716.1,659.55,0.00%
ID,Fremont,104,12943,803.52,703.31,0.00%
ID,Gem,213,17184,1239.53,834.49,0.01%
ID,Gooding,154,15185,1014.16,845.83,0.01%
ID,Idaho,193,16156,1194.6,723.89,0.01%
ID,Jefferson,174,27839,625.02,713.33,0.01%
ID,Jerome,190,22994,826.3,911.89,0.01%
ID,Kootenai,1387,154311,898.83,718.7,0.05%
ID,Latah,242,39196,617.41,650.66,0.01%
ID,Lemhi,89,7723,1152.4,676.81,0.00%
ID,Lewis,44,3853,1141.97,612.93,0.00%
ID,Lincoln,32,5271,607.1,625.87,0.00%
ID,Madison,113,39048,289.39,562.03,0.00%
ID,Minidoka,153,20616,742.14,618.01,0.01%
ID,Nez Perce,513,40369,1270.78,829.37,0.02%
ID,Oneida,33,4343,759.84,530.98,0.00%
ID,Owyhee,96,11389,842.92,752.71,0.00%
ID,Payette,199,23026,864.24,733.67,0.01%
ID,Power,70,7654,914.55,931.84,0.00%
ID,Shoshone,190,12452,1525.86,1000.69,0.01%
ID,Teton,46,10960,419.71,633.52,0.00%
ID,Twin Falls,765,83514,916.01,816.39,0.03%
ID,Valley,86,10496,819.36,613.29,0.00%
ID,Washington,105,10172,1032.25,611.89,0.00%
IL,Adams,773,66578,1161.04,749.35,0.03%
IL,Alexander,101,6478,1559.12,1085.9,0.00%
IL,Bond,183,16824,1087.73,809.5,0.01%
IL,Boone,408,53503,762.57,703.81,0.01%
IL,Brown,58,6762,857.73,784.55,0.00%
IL,Bureau,447,33359,1339.97,825.17,0.02%
IL,Calhoun,50,4894,1021.66,560.52,0.00%
IL,Carroll,177,14539,1217.42,706.33,0.01%
IL,Cass,159,12676,1254.34,955.24,0.01%
IL,Champaign,1311,208419,629.02,659.85,0.05%
IL,Christian,415,33309,1245.91,840.88,0.02%
IL,Clark,179,15938,1123.1,771.57,0.01%
IL,Clay,181,13300,1360.9,888.84,0.01%
IL,Clinton,342,37729,906.46,685.01,0.01%
IL,Coles,524,52343,1001.09,806.62,0.02%
IL,Cook,40899,5203499,785.99,719.33,1.49%
IL,Crawford,254,19308,1315.52,881.59,0.01%
IL,Cumberland,109,10858,1003.87,732.3,0.00%
IL,De Witt,189,16226,1164.8,840.8,0.01%
IL,Dekalb,700,104528,669.68,703,0.03%
IL,Douglas,181,19630,922.06,689.86,0.01%
IL,Dupage,6329,929368,681,595.96,0.23%
IL,Edgar,227,17566,1292.27,822.75,0.01%
IL,Edwards,73,6523,1119.12,726.17,0.00%
IL,Effingham,303,34386,881.17,645.65,0.01%
IL,Fayette,223,21789,1023.45,767.4,0.01%
IL,Ford,209,13575,1539.59,934.58,0.01%
IL,Franklin,518,39156,1322.91,932.14,0.02%
IL,Fulton,479,35536,1347.93,894.62,0.02%
IL,Gallatin,70,5212,1343.05,935.35,0.00%
IL,Greene,190,13093,1451.16,997.59,0.01%
IL,Grundy,396,50437,785.14,762.42,0.01%
IL,Hamilton,98,8061,1215.73,782.3,0.00%
IL,Hancock,220,18508,1188.68,684.34,0.01%
IL,Hardin,74,4024,1838.97,1163.94,0.00%
IL,Henderson,86,6869,1252,732.21,0.00%
IL,Henry,561,49280,1138.39,777.23,0.02%
IL,Iroquois,406,28334,1432.91,923.74,0.01%
IL,Jackson,450,58870,764.4,718.16,0.02%
IL,Jasper,113,9536,1184.98,802.8,0.00%
IL,Jefferson,407,38460,1058.24,791.58,0.01%
IL,Jersey,272,22025,1234.96,868.51,0.01%
IL,Jo Daviess,258,21770,1185.12,681.7,0.01%
IL,Johnson,121,12902,937.84,703.41,0.00%
IL,Kane,3165,531715,595.24,610.31,0.12%
IL,Kankakee,1180,110008,1072.65,878.78,0.04%
IL,Kendall,560,124695,449.1,599.56,0.02%
IL,Knox,681,50938,1336.92,873.38,0.02%
IL,Lake,4503,703047,640.5,612.07,0.16%
IL,Lasalle,1296,110642,1171.35,804.86,0.05%
IL,Lawrence,213,16377,1300.6,955.72,0.01%
IL,Lee,366,34251,1068.58,760.91,0.01%
IL,Livingston,430,36526,1177.24,831.41,0.02%
IL,Logan,363,29527,1229.38,885.04,0.01%
IL,Macon,1215,106550,1140.31,799.92,0.04%
IL,Macoupin,604,45908,1315.67,903.88,0.02%
IL,Madison,2772,265759,1043.05,825.52,0.10%
IL,Marion,538,38140,1410.59,989.9,0.02%
IL,Marshall,156,11939,1306.64,776.63,0.01%
IL,Mason,184,13507,1362.26,851.55,0.01%
IL,Massac,215,14658,1466.78,970.19,0.01%
IL,Mcdonough,320,30996,1032.39,821.07,0.01%
IL,Mchenry,2066,307004,672.96,676.39,0.08%
IL,Mclean,1134,172418,657.7,659.95,0.04%
IL,Menard,129,12516,1030.68,719.22,0.00%
IL,Mercer,189,15730,1201.53,730.82,0.01%
IL,Monroe,257,34068,754.37,552.1,0.01%
IL,Montgomery,368,28952,1271.07,830.48,0.01%
IL,Morgan,388,34277,1131.95,764.46,0.01%
IL,Moultrie,194,14827,1308.42,840.12,0.01%
IL,Ogle,501,51273,977.12,728.23,0.02%
IL,Peoria,1842,185006,995.64,820.81,0.07%
IL,Perry,233,21357,1090.98,814.87,0.01%
IL,Piatt,176,16560,1062.8,772.1,0.01%
IL,Pike,209,15950,1310.34,837.86,0.01%
IL,Pope,51,4157,1226.85,769.11,0.00%
IL,Pulaski,72,5619,1281.37,796.61,0.00%
IL,Putnam,61,5611,1087.15,747.45,0.00%
IL,Randolph,387,32621,1186.35,849.89,0.01%
IL,Richland,225,15930,1412.43,863.68,0.01%
IL,Rock Island,1618,144784,1117.53,792.99,0.06%
IL,Saline,369,24307,1518.08,1058.75,0.01%
IL,Sangamon,1898,197499,961.02,755.08,0.07%
IL,Schuyler,99,6923,1430.02,927.94,0.00%
IL,Scott,63,5053,1246.78,868.91,0.00%
IL,Shelby,228,21717,1049.87,648.22,0.01%
IL,St. Clair,2486,262759,946.11,813.88,0.09%
IL,Stark,67,5776,1159.97,677.51,0.00%
IL,Stephenson,564,45624,1236.19,741.1,0.02%
IL,Tazewell,1383,134385,1029.13,744.56,0.05%
IL,Union,213,17212,1237.51,831.53,0.01%
IL,Vermilion,955,78111,1222.62,929.39,0.03%
IL,Wabash,152,11492,1322.66,820.83,0.01%
IL,Warren,177,17378,1018.53,703.16,0.01%
IL,Washington,174,14154,1229.33,806.55,0.01%
IL,Wayne,196,16396,1195.41,795.34,0.01%
IL,White,208,14292,1455.36,891.37,0.01%
IL,Whiteside,656,56536,1160.32,761.42,0.02%
IL,Will,4501,689529,652.76,702.94,0.16%
IL,Williamson,778,67560,1151.57,870.63,0.03%
IL,Winnebago,2892,285873,1011.64,813.61,0.11%
IL,Woodford,377,39140,963.21,677.9,0.01%
IN,Adams,323,35232,916.78,739.28,0.01%
IN,Allen,3348,370404,903.88,833.59,0.12%
IN,Bartholomew,748,81402,918.9,795.3,0.03%
IN,Benton,77,8650,890.17,698.11,0.00%
IN,Blackford,154,12149,1267.59,898.39,0.01%
IN,Boone,546,64653,844.51,823.77,0.02%
IN,Brown,161,14912,1079.67,763.28,0.01%
IN,Carroll,196,19970,981.47,733.27,0.01%
IN,Cass,411,37946,1083.12,830.18,0.01%
IN,Clark,1232,116031,1061.79,959.04,0.04%
IN,Clay,312,26309,1185.91,922.13,0.01%
IN,Clinton,363,32457,1118.4,834.16,0.01%
IN,Crawford,118,10539,1119.65,928.64,0.00%
IN,Daviess,342,32969,1037.34,912.86,0.01%
IN,De Kalb,429,42746,1003.6,837.79,0.02%
IN,Dearborn,504,49331,1021.67,870.19,0.02%
IN,Decatur,290,26598,1090.31,882.79,0.01%
IN,Delaware,1327,115603,1147.89,943.82,0.05%
IN,Dubois,410,42552,963.53,731.52,0.01%
IN,Elkhart,1789,203781,877.9,796.38,0.07%
IN,Fayette,314,23331,1345.85,1005,0.01%
IN,Floyd,789,76990,1024.81,871.25,0.03%
IN,Fountain,214,16486,1298.07,868.99,0.01%
IN,Franklin,208,22715,915.69,734.16,0.01%
IN,Fulton,232,20139,1151.99,862.72,0.01%
IN,Gibson,380,33703,1127.5,862.64,0.01%
IN,Grant,811,66937,1211.59,905.21,0.03%
IN,Greene,405,32211,1257.33,919.29,0.01%
IN,Hamilton,1689,316373,533.86,604.58,0.06%
IN,Hancock,680,73717,922.45,808.72,0.02%
IN,Harrison,418,39826,1049.57,877.71,0.02%
IN,Hendricks,1127,160610,701.7,709.52,0.04%
IN,Henry,579,48521,1193.3,879.88,0.02%
IN,Howard,1070,82568,1295.9,952.37,0.04%
IN,Huntington,457,36400,1255.49,959.26,0.02%
IN,Jackson,453,44013,1029.24,866.07,0.02%
IN,Jasper,321,33433,960.13,815.59,0.01%
IN,Jay,231,21046,1097.6,894.05,0.01%
IN,Jefferson,354,32418,1091.99,879.89,0.01%
IN,Jennings,315,27758,1134.81,1038.79,0.01%
IN,Johnson,1305,151982,858.65,789.32,0.05%
IN,Knox,423,37744,1120.71,889.25,0.02%
IN,Kosciusko,656,79092,829.41,712.59,0.02%
IN,La Porte,1266,110015,1150.75,942.05,0.05%
IN,Lagrange,244,39110,623.88,631.21,0.01%
IN,Lake,4837,485846,995.58,835.82,0.18%
IN,Lawrence,551,45518,1210.51,877.1,0.02%
IN,Madison,1498,129296,1158.58,904.52,0.05%
IN,Marion,8263,941229,877.89,903.64,0.30%
IN,Marshall,483,46556,1037.46,779.13,0.02%
IN,Martin,112,10171,1101.17,849.23,0.00%
IN,Miami,385,35883,1072.93,866.41,0.01%
IN,Monroe,1009,145496,693.49,735.21,0.04%
IN,Montgomery,404,38074,1061.09,802.78,0.01%
IN,Morgan,649,69698,931.16,816.9,0.02%
IN,Newton,163,13924,1170.64,885.02,0.01%
IN,Noble,455,47638,955.12,829.71,0.02%
IN,Ohio,65,5932,1095.75,805.12,0.00%
IN,Orange,246,19335,1272.3,976.02,0.01%
IN,Owen,249,20840,1194.82,991.92,0.01%
IN,Parke,171,16800,1017.86,812.68,0.01%
IN,Perry,218,18966,1149.43,864.62,0.01%
IN,Pike,166,12431,1335.37,958.93,0.01%
IN,Porter,1395,167791,831.39,717.3,0.05%
IN,Posey,230,25476,902.81,710.09,0.01%
IN,Pulaski,145,12660,1145.34,841.61,0.01%
IN,Putnam,365,37436,975,807.31,0.01%
IN,Randolph,277,25082,1104.38,787.53,0.01%
IN,Ripley,297,28846,1029.61,773.1,0.01%
IN,Rush,208,16649,1249.32,919,0.01%
IN,Scott,330,23730,1390.64,1218.55,0.01%
IN,Shelby,482,44324,1087.45,868.9,0.02%
IN,Spencer,227,20648,1099.38,812.38,0.01%
IN,St. Joseph,2687,269141,998.36,834.8,0.10%
IN,Starke,258,23009,1121.3,944.84,0.01%
IN,Steuben,335,34116,981.94,777.48,0.01%
IN,Sullivan,232,20802,1115.28,908.79,0.01%
IN,Switzerland,90,10527,854.94,716.98,0.00%
IN,Tippecanoe,1215,188059,646.07,741.49,0.04%
IN,Tipton,199,15182,1310.76,906.86,0.01%
IN,Union,79,7212,1095.4,845.88,0.00%
IN,Vanderburgh,1936,181721,1065.37,851.43,0.07%
IN,Vermillion,196,15645,1252.8,881.3,0.01%
IN,Vigo,1154,107931,1069.2,904.49,0.04%
IN,Wabash,456,31762,1435.68,934.22,0.02%
IN,Warren,101,8166,1236.84,845.78,0.00%
IN,Warrick,568,62498,908.83,726.86,0.02%
IN,Washington,323,27670,1167.33,1001.87,0.01%
IN,Wayne,863,66568,1296.42,951.33,0.03%
IN,Wells,278,27949,994.67,712.66,0.01%
IN,White,297,23999,1237.55,829.21,0.01%
IN,Whitley,305,33449,911.84,721.4,0.01%
KS,Allen,154,12714,1211.26,795.78,0.01%
KS,Anderson,113,7827,1443.72,860.48,0.00%
KS,Atchison,191,16380,1166.06,936.27,0.01%
KS,Barber,50,4688,1066.55,663.24,0.00%
KS,Barton,293,26775,1094.3,770.2,0.01%
KS,Bourbon,192,14617,1313.54,888.3,0.01%
KS,Brown,118,9684,1218.5,820.89,0.00%
KS,Butler,641,67025,956.36,820.83,0.02%
KS,Chase,45,2669,1686.02,962.91,0.00%
KS,Chautauqua,60,3374,1778.3,1118.91,0.00%
KS,Cherokee,247,20246,1219.99,915.9,0.01%
KS,Cheyenne,37,2661,1390.45,607.62,0.00%
KS,Clark,30,2072,1447.88,902.89,0.00%
KS,Clay,102,8143,1252.61,726.81,0.00%
KS,Cloud,146,9150,1595.63,904.2,0.01%
KS,Coffey,97,8433,1150.24,750.16,0.00%
KS,Comanche,29,1862,1557.47,968.3,0.00%
KS,Cowley,435,35753,1216.68,909.32,0.02%
KS,Crawford,433,39164,1105.61,933.23,0.02%
KS,Decatur,48,2832,1694.92,758.58,0.00%
KS,Dickinson,240,19064,1258.92,795.71,0.01%
KS,Doniphan,78,7664,1017.75,713.07,0.00%
KS,Douglas,649,119440,543.37,618.49,0.02%
KS,Edwards,32,2938,1089.18,733.9,0.00%
KS,Elk,40,2547,1570.48,943.71,0.00%
KS,Ellis,258,28893,892.95,774.15,0.01%
KS,Ellsworth,86,6328,1359.04,859.94,0.00%
KS,Finney,212,36722,577.31,674.48,0.01%
KS,Ford,241,33971,709.43,742.54,0.01%
KS,Franklin,297,25560,1161.97,956.81,0.01%
KS,Geary,230,35586,646.32,936.7,0.01%
KS,Gove,41,2589,1583.62,834.85,0.00%
KS,Graham,33,2564,1287.05,680.4,0.00%
KS,Grant,51,7646,667.02,719.09,0.00%
KS,Gray,68,6034,1126.95,942.07,0.00%
KS,Greeley,23,1296,1774.69,1092.1,0.00%
KS,Greenwood,109,6151,1772.07,1047.88,0.00%
KS,Hamilton,19,2536,Unreliable,Unreliable,0.00%
KS,Harper,84,5685,1477.57,896.47,0.00%
KS,Harvey,410,34913,1174.35,756.44,0.01%
KS,Haskell,29,4006,723.91,742.9,0.00%
KS,Hodgeman,24,1870,1283.42,641.45,0.00%
KS,Jackson,125,13291,940.49,736.48,0.00%
KS,Jefferson,178,18897,941.95,692.79,0.01%
KS,Jewell,35,2901,1206.48,565.03,0.00%
KS,Johnson,3748,584451,641.29,587.92,0.14%
KS,Kearny,35,3917,893.54,802.97,0.00%
KS,Kingman,142,7467,1901.7,1157.28,0.01%
KS,Kiowa,20,2483,805.48,486.97,0.00%
KS,Labette,285,20444,1394.05,979.14,0.01%
KS,Lane,33,1636,2017.11,1141.34,0.00%
KS,Leavenworth,656,80204,817.91,787.17,0.02%
KS,Lincoln,39,3073,1269.12,753.48,0.00%
KS,Linn,117,9558,1224.11,832.21,0.00%
KS,Logan,22,2831,777.11,420.44,0.00%
KS,Lyon,252,33510,752.01,646.87,0.01%
KS,Marion,168,12112,1387.05,776.95,0.01%
KS,Marshall,129,9836,1311.51,712.5,0.00%
KS,Mcpherson,354,28804,1229,735.69,0.01%
KS,Meade,53,4216,1257.12,874.83,0.00%
KS,Miami,303,32964,919.18,755.88,0.01%
KS,Mitchell,67,6243,1073.2,546.1,0.00%
KS,Montgomery,457,32746,1395.59,988.73,0.02%
KS,Morris,82,5573,1471.38,726.76,0.00%
KS,Morton,31,2848,1088.48,738.42,0.00%
KS,Nemaha,118,10241,1152.23,661.2,0.00%
KS,Neosho,202,16146,1251.08,826.49,0.01%
KS,Ness,43,2962,1451.72,721.34,0.00%
KS,Norton,80,5493,1456.4,935.48,0.00%
KS,Osage,188,15843,1186.64,847.83,0.01%
KS,Osborne,66,3642,1812.19,916.1,0.00%
KS,Ottawa,86,5920,1452.7,1042.81,0.00%
KS,Pawnee,85,6743,1260.57,807.55,0.00%
KS,Phillips,70,5428,1289.61,749.47,0.00%
KS,Pottawatomie,165,23661,697.35,644.76,0.01%
KS,Pratt,128,9584,1335.56,902.48,0.00%
KS,Rawlins,42,2549,1647.7,720.63,0.00%
KS,Reno,721,63220,1140.46,784.86,0.03%
KS,Republic,81,4699,1723.77,772.12,0.00%
KS,Rice,115,9831,1169.77,850.38,0.00%
KS,Riley,378,73343,515.39,702.94,0.01%
KS,Rooks,66,5076,1300.24,740.25,0.00%
KS,Rush,67,3058,2190.97,1161.43,0.00%
KS,Russell,81,6988,1159.13,653.8,0.00%
KS,Saline,517,55142,937.58,727.25,0.02%
KS,Scott,55,5032,1093,721.45,0.00%
KS,Sedgwick,4509,511995,880.67,825.01,0.16%
KS,Seward,134,22709,590.07,726.32,0.00%
KS,Shawnee,1874,178146,1051.95,808.54,0.07%
KS,Sheridan,30,2509,1195.7,575.46,0.00%
KS,Sherman,66,5965,1106.45,779.35,0.00%
KS,Smith,70,3632,1927.31,851.47,0.00%
KS,Stafford,40,4208,950.57,609.13,0.00%
KS,Stanton,22,2062,1066.93,743.9,0.00%
KS,Stevens,45,5584,805.87,695.39,0.00%
KS,Sumner,247,23272,1061.36,768.86,0.01%
KS,Thomas,69,7892,874.3,624.25,0.00%
KS,Trego,55,2872,1915.04,989.25,0.00%
KS,Wabaunsee,68,6891,986.79,720.62,0.00%
KS,Wallace,16,1497,Unreliable,Unreliable,0.00%
KS,Washington,75,5546,1352.33,720.83,0.00%
KS,Wichita,22,2112,1041.67,668.51,0.00%
KS,Wilson,102,8723,1169.32,769.31,0.00%
KS,Woodson,52,3165,1642.97,976.19,0.00%
KS,Wyandotte,1349,163831,823.41,875.82,0.05%
KY,Adair,197,19280,1021.78,855.54,0.01%
KY,Allen,244,20631,1182.69,1046.49,0.01%
KY,Anderson,253,22158,1141.8,1000.82,0.01%
KY,Ballard,119,8054,1477.53,1035.54,0.00%
KY,Barren,511,43993,1161.55,902.62,0.02%
KY,Bath,152,12327,1233.07,1036.06,0.01%
KY,Bell,402,27117,1482.46,1170.3,0.01%
KY,Boone,871,128536,677.63,757.13,0.03%
KY,Bourbon,235,20030,1173.24,901.01,0.01%
KY,Boyd,656,48132,1362.92,1012.27,0.02%
KY,Boyle,341,30018,1135.99,865.4,0.01%
KY,Bracken,89,8400,1059.52,957.32,0.00%
KY,Breathitt,200,13284,1505.57,1296.41,0.01%
KY,Breckinridge,225,19961,1127.2,906.02,0.01%
KY,Bullitt,665,79151,840.17,812.96,0.02%
KY,Butler,186,12845,1448.03,1101.34,0.01%
KY,Caldwell,151,12568,1201.46,888.72,0.01%
KY,Calloway,380,38437,988.63,844.62,0.01%
KY,Campbell,909,92211,985.78,873.75,0.03%
