,State,County,Hospital,Number of Completed Surveys,FIPS
645,KS,Cherokee,2.0,407.0,20021
646,KS,Cheyenne,1.0,53.0,20023
647,KS,Clark,2.0,52.0,20025
648,KS,Clay,1.0,171.0,20027
649,KS,Cloud,1.0,50.0,20029
650,KS,Cowley,2.0,376.0,20035
651,KS,Crawford,2.0,642.0,20037
652,KS,Dickinson,2.0,131.0,20041
653,KS,Douglas,1.0,1085.0,20045
654,KS,Ellis,1.0,691.0,20051
655,KS,Ellsworth,1.0,79.0,20053
656,KS,Finney,1.0,347.0,20055
657,KS,Ford,1.0,366.0,20057
658,KS,Franklin,1.0,237.0,20059
659,KS,Geary,1.0,183.0,20061
660,KS,Gove,1.0,61.0,20063
661,KS,Graham,1.0,50.0,20065
662,KS,Grant,1.0,50.0,20067
663,KS,Greenwood,1.0,82.0,20073
664,KS,Harper,2.0,50.0,20077
665,KS,Harvey,1.0,337.0,20079
666,KS,Hodgeman,1.0,50.0,20083
667,KS,Jackson,1.0,51.0,20085
668,KS,Johnson,10.0,7156.0,20091
669,KS,Kearny,1.0,94.0,20093
670,KS,Kingman,1.0,90.0,20095
671,KS,Labette,2.0,453.0,20099
672,KS,Leavenworth,2.0,353.0,20103
673,KS,Lyon,1.0,373.0,20111
674,KS,Marion,2.0,50.0,20115
675,KS,Marshall,1.0,85.0,20117
676,KS,Mcpherson,3.0,289.0,20113
677,KS,Meade,1.0,62.0,20119
678,KS,Miami,1.0,147.0,20121
679,KS,Mitchell,1.0,267.0,20123
680,KS,Montgomery,1.0,293.0,20125
681,KS,Morton,1.0,52.0,20129
682,KS,Nemaha,2.0,111.0,20131
683,KS,Neosho,1.0,337.0,20133
684,KS,Norton,1.0,51.0,20137
685,KS,Osborne,1.0,58.0,20141
686,KS,Ottawa,1.0,50.0,20143
687,KS,Phillips,1.0,50.0,20147
688,KS,Pottawatomie,2.0,140.0,20149
689,KS,Pratt,1.0,274.0,20151
690,KS,Reno,2.0,787.0,20155
691,KS,Republic,1.0,119.0,20157
692,KS,Rice,1.0,50.0,20159
693,KS,Riley,2.0,1245.0,20161
694,KS,Rooks,1.0,83.0,20163
695,KS,Russell,1.0,50.0,20167
696,KS,Saline,2.0,1653.0,20169
697,KS,Scott,1.0,50.0,20171
698,KS,Sedgwick,6.0,8932.0,20173
699,KS,Seward,1.0,400.0,20175
700,KS,Shawnee,2.0,3930.0,20177
701,KS,Sheridan,1.0,50.0,20179
702,KS,Smith,1.0,133.0,20183
703,KS,Sumner,2.0,100.0,20191
704,KS,Thomas,1.0,118.0,20193
705,KS,Trego,1.0,50.0,20195
706,KS,Wilson,2.0,118.0,20205
707,KS,Wyandotte,2.0,3819.0,20209
708,KY,Allen,1.0,80.0,21003
709,KY,Barren,1.0,411.0,21009
710,KY,Bell,2.0,164.0,21013
711,KY,Boone,1.0,1264.0,21015
712,KY,Bourbon,1.0,116.0,21017
713,KY,Boyd,2.0,1138.0,21019
714,KY,Boyle,1.0,545.0,21021
715,KY,Breathitt,1.0,295.0,21025
716,KY,Breckinridge,1.0,115.0,21027
717,KY,Caldwell,1.0,56.0,21033
718,KY,Calloway,1.0,527.0,21035
719,KY,Campbell,1.0,1231.0,21037
720,KY,Carroll,1.0,63.0,21041
721,KY,Casey,1.0,190.0,21045
722,KY,Christian,1.0,766.0,21047
723,KY,Clark,1.0,394.0,21049
724,KY,Clay,1.0,150.0,21051
725,KY,Clinton,1.0,138.0,21053
726,KY,Crittenden,1.0,108.0,21055
727,KY,Cumberland,1.0,148.0,21057
728,KY,Daviess,1.0,1608.0,21059
729,KY,Estill,1.0,128.0,21065
730,KY,Fayette,4.0,5518.0,21067
731,KY,Fleming,1.0,194.0,21069
732,KY,Floyd,3.0,512.0,21071
733,KY,Franklin,1.0,964.0,21073
734,KY,Grant,1.0,61.0,21081
735,KY,Graves,1.0,419.0,21083
736,KY,Grayson,1.0,293.0,21085
737,KY,Green,1.0,94.0,21087
738,KY,Hardin,1.0,638.0,21093
739,KY,Harlan,1.0,359.0,21095
740,KY,Harrison,1.0,254.0,21097
741,KY,Hart,1.0,50.0,21099
742,KY,Henderson,1.0,328.0,21101
743,KY,Hopkins,1.0,665.0,21107
744,KY,Jefferson,4.0,12067.0,21111
745,KY,Johnson,1.0,278.0,21115
746,KY,Kenton,1.0,3749.0,21117
747,KY,Knox,2.0,631.0,21121
748,KY,Laurel,1.0,1079.0,21125
749,KY,Lawrence,1.0,339.0,21127
750,KY,Letcher,1.0,353.0,21133
751,KY,Lincoln,1.0,83.0,21137
752,KY,Livingston,1.0,131.0,21139
753,KY,Logan,1.0,220.0,21141
754,KY,Madison,2.0,623.0,21151
755,KY,Marion,1.0,193.0,21155
756,KY,Marshall,1.0,120.0,21157
757,KY,Mason,1.0,400.0,21161
758,KY,Mccracken,2.0,2025.0,21145
759,KY,Mercer,1.0,87.0,21167
760,KY,Monroe,1.0,241.0,21171
761,KY,Montgomery,1.0,187.0,21173
762,KY,Muhlenberg,1.0,161.0,21177
763,KY,Nelson,1.0,380.0,21179
764,KY,Ohio,1.0,187.0,21183
765,KY,Oldham,1.0,347.0,21185
766,KY,Perry,1.0,724.0,21193
767,KY,Pike,2.0,2136.0,21195
768,KY,Pulaski,1.0,573.0,21199
769,KY,Rockcastle,1.0,113.0,21203
770,KY,Rowan,1.0,427.0,21205
771,KY,Russell,1.0,105.0,21207
772,KY,Scott,1.0,423.0,21209
773,KY,Shelby,1.0,205.0,21211
774,KY,Simpson,1.0,161.0,21213
775,KY,Taylor,1.0,424.0,21217
776,KY,Trigg,1.0,50.0,21221
777,KY,Union,1.0,95.0,21225
778,KY,Warren,2.0,1417.0,21227
779,KY,Wayne,1.0,102.0,21231
780,KY,Woodford,1.0,76.0,21239
781,LA,Acadia,2.0,398.0,22001
782,LA,Allen,2.0,114.0,22003
783,LA,Ascension,2.0,385.0,22005
784,LA,Avoyelles,2.0,117.0,22009
785,LA,Beauregard,1.0,336.0,22011
786,LA,Bossier,1.0,632.0,22015
787,LA,Caddo,6.0,5102.0,22017
788,LA,Calcasieu,5.0,2018.0,22019
789,LA,Caldwell,2.0,322.0,22021
790,LA,Claiborne,1.0,100.0,22027
791,LA,De Soto,1.0,83.0,22031
792,LA,East Baton Rouge,7.0,5796.0,22033
793,LA,East Carroll,1.0,154.0,22035
794,LA,Evangeline,2.0,643.0,22039
795,LA,Franklin,1.0,66.0,22041
796,LA,Iberia,1.0,328.0,22045
797,LA,Jackson,1.0,80.0,22049
798,LA,Jefferson,5.0,6150.0,22051
799,LA,Jefferson Davis,1.0,383.0,22053
800,LA,La Salle,2.0,133.0,22059
801,LA,Lafayette,8.0,3994.0,22055
802,LA,Lafourche,3.0,601.0,22057
803,LA,Lincoln,1.0,613.0,22061
804,LA,Morehouse,1.0,209.0,22067
805,LA,Natchitoches,1.0,297.0,22069
806,LA,Orleans,6.0,4186.0,22071
807,LA,Ouachita,5.0,2115.0,22073
808,LA,Rapides,3.0,2252.0,22079
809,LA,Richland,2.0,177.0,22083
810,LA,Sabine,1.0,79.0,22085
811,LA,Saint Bernard,1.0,169.0,22087
812,LA,Saint Charles,1.0,136.0,22089
813,LA,Saint James,1.0,75.0,22093
814,LA,Saint Landry,1.0,487.0,22097
815,LA,Saint Martin,1.0,74.0,22099
816,LA,Saint Mary,2.0,410.0,22101
817,LA,Saint Tammany,7.0,3857.0,22103
818,LA,Tangipahoa,4.0,748.0,22105
819,LA,Terrebonne,3.0,1087.0,22109
820,LA,Union,2.0,50.0,22111
821,LA,Vermilion,2.0,220.0,22113
822,LA,Vernon,2.0,539.0,22115
823,LA,Washington,2.0,199.0,22117
824,LA,Webster,2.0,570.0,22119
825,LA,West Carroll,1.0,169.0,22123
826,LA,Winn,1.0,106.0,22127
827,MA,Barnstable,2.0,4066.0,25001
828,MA,Berkshire,2.0,695.0,25003
829,MA,Bristol,4.0,4116.0,25005
830,MA,Dukes,1.0,175.0,25007
831,MA,Essex,5.0,6219.0,25009
832,MA,Franklin,1.0,316.0,25011
833,MA,Hampden,6.0,6249.0,25013
834,MA,Hampshire,1.0,563.0,25015
835,MA,Middlesex,11.0,12878.0,25017
836,MA,Nantucket,1.0,91.0,25019
837,MA,Norfolk,4.0,2641.0,25021
838,MA,Plymouth,3.0,2706.0,25023
839,MA,Suffolk,13.0,17086.0,25025
840,MA,Worcester,9.0,4688.0,25027
841,MD,Allegany,1.0,2081.0,24001
842,MD,Anne Arundel,2.0,1763.0,24003
843,MD,Baltimore,5.0,2469.0,24005
844,MD,Baltimore City,14.0,10745.0,24510
845,MD,Calvert,1.0,476.0,24009
846,MD,Carroll,1.0,502.0,24013
847,MD,Cecil,1.0,502.0,24015
848,MD,Charles,1.0,576.0,24017
849,MD,Frederick,1.0,1853.0,24021
850,MD,Garrett,1.0,449.0,24023
851,MD,Harford,2.0,1021.0,24025
852,MD,Howard,1.0,2402.0,24027
853,MD,Kent,1.0,241.0,24029
854,MD,Montgomery,6.0,7445.0,24031
855,MD,Prince Georges,5.0,2833.0,24033
856,MD,Saint Marys,1.0,500.0,24037
857,MD,Somerset,1.0,50.0,24039
858,MD,Talbot,1.0,916.0,24041
859,MD,Washington,1.0,733.0,24043
860,MD,Wicomico,1.0,769.0,24045
861,MD,Worcester,1.0,617.0,24047
862,ME,Androscoggin,2.0,1189.0,23001
863,ME,Aroostook,4.0,1161.0,23003
864,ME,Cumberland,4.0,1536.0,23005
865,ME,Franklin,1.0,362.0,23007
866,ME,Hancock,3.0,797.0,23009
867,ME,Kennebec,2.0,941.0,23011
868,ME,Knox,1.0,495.0,23013
869,ME,Lincoln,1.0,405.0,23015
870,ME,Oxford,2.0,367.0,23017
871,ME,Penobscot,4.0,2921.0,23019
872,ME,Piscataquis,2.0,283.0,23021
873,ME,Somerset,2.0,416.0,23025
874,ME,Waldo,1.0,246.0,23027
875,ME,Washington,2.0,275.0,23029
876,ME,York,2.0,1674.0,23031
877,MI,Alger,1.0,50.0,26003
878,MI,Allegan,1.0,235.0,26005
879,MI,Alpena,1.0,670.0,26007
880,MI,Arenac,1.0,178.0,26011
881,MI,Baraga,1.0,86.0,26013
882,MI,Barry,1.0,573.0,26015
883,MI,Bay,1.0,889.0,26017
884,MI,Berrien,2.0,2142.0,26021
885,MI,Branch,1.0,410.0,26023
886,MI,Calhoun,2.0,747.0,26025
887,MI,Cass,1.0,76.0,26027
888,MI,Charlevoix,1.0,283.0,26029
889,MI,Chippewa,1.0,375.0,26033
890,MI,Clare,1.0,280.0,26035
891,MI,Clinton,1.0,211.0,26037
892,MI,Crawford,1.0,673.0,26039
893,MI,Delta,1.0,397.0,26041
894,MI,Dickinson,1.0,323.0,26043
895,MI,Eaton,2.0,350.0,26045
896,MI,Emmet,1.0,852.0,26047
897,MI,Genesee,3.0,5638.0,26049
898,MI,Gladwin,1.0,140.0,26051
899,MI,Gogebic,1.0,190.0,26053
900,MI,Grand Traverse,1.0,409.0,26055
901,MI,Gratiot,1.0,566.0,26057
902,MI,Hillsdale,1.0,303.0,26059
903,MI,Houghton,2.0,566.0,26061
904,MI,Huron,3.0,516.0,26063
905,MI,Ingham,2.0,3819.0,26065
906,MI,Ionia,1.0,206.0,26067
907,MI,Iosco,1.0,328.0,26069
908,MI,Iron,1.0,179.0,26071
909,MI,Isabella,1.0,613.0,26073
910,MI,Jackson,1.0,1927.0,26075
911,MI,Kalamazoo,2.0,2516.0,26077
912,MI,Kent,3.0,5107.0,26081
913,MI,Lapeer,1.0,735.0,26087
914,MI,Lenawee,2.0,410.0,26091
915,MI,Livingston,2.0,593.0,26093
916,MI,Luce,1.0,93.0,26095
917,MI,Mackinac,1.0,139.0,26097
918,MI,Macomb,4.0,4198.0,26099
919,MI,Manistee,1.0,424.0,26101
920,MI,Marquette,2.0,946.0,26103
921,MI,Mason,1.0,518.0,26105
922,MI,Mecosta,1.0,354.0,26107
923,MI,Midland,1.0,873.0,26111
924,MI,Monroe,1.0,344.0,26115
925,MI,Montcalm,4.0,763.0,26117
926,MI,Muskegon,1.0,3914.0,26121
927,MI,Newaygo,1.0,424.0,26123
928,MI,Oakland,12.0,11889.0,26125
929,MI,Oceana,1.0,90.0,26127
930,MI,Ogemaw,1.0,338.0,26129
931,MI,Ontonagon,1.0,50.0,26131
932,MI,Osceola,1.0,142.0,26133
933,MI,Otsego,1.0,409.0,26137
934,MI,Ottawa,3.0,1235.0,26139
935,MI,Saginaw,3.0,2121.0,26145
936,MI,Saint Clair,3.0,1980.0,26147
937,MI,Saint Joseph,2.0,481.0,26149
938,MI,Sanilac,3.0,169.0,26151
939,MI,Schoolcraft,1.0,180.0,26153
940,MI,Shiawassee,1.0,525.0,26155
941,MI,Tuscola,2.0,193.0,26157
942,MI,Van Buren,2.0,281.0,26159
943,MI,Washtenaw,4.0,4247.0,26161
944,MI,Wayne,15.0,11500.0,26163
945,MI,Wexford,1.0,331.0,26165
946,MN,Aitkin,1.0,318.0,27001
947,MN,Anoka,1.0,621.0,27003
948,MN,Becker,1.0,405.0,27005
949,MN,Beltrami,2.0,465.0,27007
950,MN,Big Stone,2.0,81.0,27011
951,MN,Blue Earth,1.0,391.0,27013
952,MN,Brown,3.0,480.0,27015
953,MN,Carlton,2.0,361.0,27017
954,MN,Carver,1.0,410.0,27019
955,MN,Chippewa,1.0,154.0,27023
956,MN,Chisago,1.0,637.0,27025
957,MN,Cottonwood,2.0,88.0,27033
958,MN,Crow Wing,2.0,1136.0,27035
959,MN,Dakota,3.0,1439.0,27037
960,MN,Douglas,1.0,511.0,27041
961,MN,Faribault,1.0,89.0,27043
962,MN,Freeborn,1.0,417.0,27047
963,MN,Goodhue,2.0,431.0,27049
964,MN,Hennepin,10.0,5599.0,27053
965,MN,Hubbard,1.0,283.0,27057
966,MN,Isanti,1.0,463.0,27059
967,MN,Itasca,3.0,487.0,27061
968,MN,Kanabec,1.0,247.0,27065
969,MN,Kandiyohi,1.0,490.0,27067
970,MN,Koochiching,1.0,94.0,27071
971,MN,Lac Qui Parle,2.0,116.0,27073
972,MN,Lake,1.0,93.0,27075
973,MN,Lincoln,2.0,50.0,27081
974,MN,Lyon,2.0,280.0,27083
975,MN,Martin,1.0,297.0,27091
976,MN,Mcleod,2.0,590.0,27085
977,MN,Meeker,1.0,187.0,27093
978,MN,Mille Lacs,1.0,120.0,27095
979,MN,Morrison,1.0,294.0,27097
980,MN,Murray,1.0,113.0,27101
981,MN,Nicollet,1.0,418.0,27103
982,MN,Nobles,1.0,204.0,27105
983,MN,Olmsted,2.0,1033.0,27109
984,MN,Otter Tail,2.0,682.0,27111
985,MN,Pennington,1.0,244.0,27113
986,MN,Pine,1.0,50.0,27115
987,MN,Pipestone,1.0,75.0,27117
988,MN,Polk,2.0,369.0,27119
989,MN,Pope,1.0,178.0,27121
990,MN,Ramsey,5.0,2915.0,27123
991,MN,Redwood,1.0,127.0,27127
992,MN,Renville,1.0,113.0,27129
993,MN,Rice,1.0,280.0,27131
994,MN,Rock,1.0,86.0,27133
995,MN,Roseau,1.0,170.0,27135
996,MN,Saint Louis,8.0,3388.0,27137
997,MN,Scott,2.0,594.0,27139
998,MN,Sherburne,1.0,406.0,27141
999,MN,Stearns,4.0,2681.0,27145
1000,MN,Steele,1.0,585.0,27147
1001,MN,Stevens,1.0,284.0,27149
1002,MN,Swift,2.0,95.0,27151
1003,MN,Todd,2.0,341.0,27153
1004,MN,Wabasha,2.0,172.0,27157
1005,MN,Wadena,1.0,167.0,27159
1006,MN,Waseca,1.0,74.0,27161
1007,MN,Washington,2.0,1792.0,27163
1008,MN,Watonwan,2.0,102.0,27165
1009,MN,Wilkin,1.0,110.0,27167
1010,MN,Winona,1.0,325.0,27169
1011,MN,Wright,2.0,892.0,27171
1012,MN,Yellow Medicine,2.0,150.0,27173
1013,MO,Adair,1.0,560.0,29001
1014,MO,Atchison,1.0,80.0,29005
1015,MO,Audrain,1.0,297.0,29007
1016,MO,Barry,2.0,211.0,29009
1017,MO,Barton,1.0,155.0,29011
1018,MO,Bates,1.0,144.0,29013
1019,MO,Boone,2.0,2483.0,29019
1020,MO,Buchanan,1.0,442.0,29021
1021,MO,Butler,2.0,667.0,29023
1022,MO,Camden,1.0,626.0,29029
1023,MO,Cape Girardeau,2.0,3465.0,29031
1024,MO,Carroll,1.0,50.0,29033
1025,MO,Cass,2.0,650.0,29037
1026,MO,Cedar,1.0,67.0,29039
1027,MO,Clay,3.0,3901.0,29047
1028,MO,Clinton,1.0,231.0,29049
1029,MO,Cole,2.0,722.0,29051
1030,MO,Crawford,1.0,304.0,29055
1031,MO,Dent,1.0,99.0,29065
1032,MO,Dunklin,1.0,221.0,29069
1033,MO,Franklin,1.0,1299.0,29071
1034,MO,Greene,2.0,7106.0,29077
1035,MO,Grundy,1.0,88.0,29079
1036,MO,Harrison,1.0,52.0,29081
1037,MO,Henry,1.0,342.0,29083
1038,MO,Howell,2.0,600.0,29091
1039,MO,Jackson,10.0,9103.0,29095
1040,MO,Jasper,3.0,3455.0,29097
1041,MO,Jefferson,2.0,2050.0,29099
1042,MO,Johnson,1.0,271.0,29101
1043,MO,Laclede,1.0,575.0,29105
1044,MO,Lafayette,1.0,141.0,29107
1045,MO,Lawrence,1.0,161.0,29109
1046,MO,Lincoln,1.0,127.0,29113
1047,MO,Livingston,1.0,254.0,29117
1048,MO,Marion,1.0,647.0,29127
1049,MO,New Madrid,1.0,436.0,29143
1050,MO,Nodaway,1.0,214.0,29147
1051,MO,Pemiscot,1.0,94.0,29155
1052,MO,Perry,1.0,298.0,29157
1053,MO,Pettis,1.0,842.0,29159
1054,MO,Phelps,1.0,336.0,29161
1055,MO,Pike,1.0,114.0,29163
1056,MO,Platte,1.0,537.0,29165
1057,MO,Polk,1.0,614.0,29167
1058,MO,Randolph,1.0,222.0,29175
1059,MO,Ray,1.0,119.0,29177
1060,MO,Ripley,1.0,50.0,29181
1061,MO,Saint Charles,4.0,1937.0,29183
1062,MO,Saint Francois,2.0,442.0,29187
1063,MO,Saint Louis,10.0,14680.0,29189
1064,MO,Saint Louis City,5.0,2042.0,29510
1065,MO,Sainte Genevieve,1.0,169.0,29186
1066,MO,Saline,2.0,332.0,29195
1067,MO,Scotland,1.0,83.0,29199
1068,MO,Stoddard,1.0,123.0,29207
1069,MO,Taney,1.0,751.0,29213
1070,MO,Texas,1.0,210.0,29215
1071,MO,Vernon,1.0,136.0,29217
1072,MO,Washington,1.0,82.0,29221
1073,MS,Adams,1.0,660.0,28001
1074,MS,Alcorn,1.0,510.0,28003
1075,MS,Attala,1.0,53.0,28007
1076,MS,Bolivar,1.0,498.0,28011
1077,MS,Chickasaw,1.0,50.0,28017
1078,MS,Choctaw,1.0,69.0,28019
1079,MS,Claiborne,1.0,50.0,28021
1080,MS,Clarke,1.0,50.0,28023
1081,MS,Clay,1.0,112.0,28025
1082,MS,Coahoma,1.0,503.0,28027
1083,MS,Covington,1.0,50.0,28031
1084,MS,Desoto,2.0,1015.0,28033
1085,MS,Forrest,2.0,2904.0,28035
1086,MS,George,1.0,194.0,28039
1087,MS,Greene,1.0,50.0,28041
1088,MS,Grenada,1.0,187.0,28043
1089,MS,Hancock,1.0,151.0,28045
1090,MS,Harrison,3.0,1606.0,28047
1091,MS,Hinds,5.0,4315.0,28049
1092,MS,Holmes,1.0,50.0,28051
1093,MS,Jackson,1.0,1319.0,28059
1094,MS,Jefferson Davis,1.0,50.0,28065
1095,MS,Jones,1.0,500.0,28067
1096,MS,Kemper,1.0,50.0,28069
1097,MS,Lafayette,1.0,819.0,28071
1098,MS,Lauderdale,4.0,1371.0,28075
1099,MS,Lawrence,1.0,65.0,28077
1100,MS,Leake,1.0,112.0,28079
1101,MS,Lee,1.0,1900.0,28081
1102,MS,Leflore,1.0,403.0,28083
1103,MS,Lincoln,1.0,496.0,28085
1104,MS,Lowndes,1.0,829.0,28087
1105,MS,Madison,1.0,227.0,28089
1106,MS,Marion,1.0,139.0,28091
1107,MS,Marshall,1.0,50.0,28093
1108,MS,Monroe,2.0,385.0,28095
1109,MS,Montgomery,1.0,50.0,28097
1110,MS,Neshoba,3.0,231.0,28099
1111,MS,Oktibbeha,1.0,340.0,28105
1112,MS,Panola,1.0,247.0,28107
1113,MS,Pearl River,2.0,151.0,28109
1114,MS,Pike,2.0,855.0,28113
1115,MS,Prentiss,1.0,103.0,28117
1116,MS,Rankin,4.0,1211.0,28121
1117,MS,Scott,2.0,139.0,28123
1118,MS,Sharkey,1.0,53.0,28125
1119,MS,Simpson,2.0,165.0,28127
1120,MS,Stone,1.0,50.0,28131
1121,MS,Sunflower,2.0,134.0,28133
1122,MS,Tallahatchie,1.0,124.0,28135
1123,MS,Tate,1.0,123.0,28137
1124,MS,Tippah,1.0,118.0,28139
1125,MS,Tishomingo,1.0,94.0,28141
1126,MS,Union,1.0,348.0,28145
1127,MS,Walthall,1.0,50.0,28147
1128,MS,Warren,1.0,526.0,28149
1129,MS,Washington,1.0,1345.0,28151
1130,MS,Wayne,1.0,317.0,28153
1131,MS,Webster,1.0,109.0,28155
1132,MS,Wilkinson,1.0,50.0,28157
1133,MS,Winston,1.0,58.0,28159
1134,MS,Yalobusha,1.0,137.0,28161
1135,MS,Yazoo,1.0,119.0,28163
1136,MT,Beaverhead,1.0,115.0,30001
1137,MT,Carbon,1.0,50.0,30009
1138,MT,Cascade,2.0,791.0,30013
1139,MT,Custer,1.0,84.0,30017
1140,MT,Dawson,1.0,97.0,30021
1141,MT,Deer Lodge,1.0,333.0,30023
1142,MT,Fergus,1.0,144.0,30027
1143,MT,Flathead,3.0,1125.0,30029
1144,MT,Gallatin,2.0,631.0,30031
1145,MT,Glacier,2.0,107.0,30035
1146,MT,Hill,1.0,203.0,30041
1147,MT,Lake,2.0,264.0,30047
1148,MT,Lewis And Clark,1.0,1106.0,30049
1149,MT,Lincoln,1.0,153.0,30053
1150,MT,Madison,2.0,101.0,30057
1151,MT,Mineral,1.0,50.0,30061
1152,MT,Missoula,2.0,3042.0,30063
1153,MT,Park,1.0,210.0,30067
1154,MT,Phillips,1.0,50.0,30071
1155,MT,Ravalli,1.0,279.0,30081
1156,MT,Richland,1.0,172.0,30083
1157,MT,Roosevelt,3.0,50.0,30085
1158,MT,Sanders,1.0,92.0,30089
1159,MT,Sheridan,1.0,50.0,30091
1160,MT,Silver Bow,1.0,485.0,30093
1161,MT,Stillwater,1.0,50.0,30095
1162,MT,Teton,1.0,50.0,30099
1163,MT,Toole,1.0,50.0,30101
1164,MT,Valley,1.0,103.0,30105
1165,MT,Yellowstone,2.0,3431.0,30111
1166,NC,Alamance,1.0,631.0,37001
1167,NC,Alleghany,1.0,60.0,37005
1168,NC,Ashe,1.0,135.0,37009
1169,NC,Avery,1.0,84.0,37011
1170,NC,Beaufort,1.0,318.0,37013
1171,NC,Bertie,1.0,50.0,37015
1172,NC,Bladen,1.0,65.0,37017
1173,NC,Brunswick,2.0,1082.0,37019
1174,NC,Buncombe,1.0,348.0,37021
1175,NC,Burke,1.0,685.0,37023
1176,NC,Cabarrus,1.0,596.0,37025
1177,NC,Caldwell,1.0,435.0,37027
1178,NC,Carteret,1.0,426.0,37031
1179,NC,Catawba,2.0,1559.0,37035
1180,NC,Chatham,1.0,175.0,37037
1181,NC,Cherokee,1.0,324.0,37039
1182,NC,Chowan,1.0,235.0,37041
1183,NC,Cleveland,2.0,874.0,37045
1184,NC,Columbus,1.0,354.0,37047
1185,NC,Craven,1.0,1445.0,37049
1186,NC,Cumberland,1.0,2261.0,37051
1187,NC,Dare,1.0,177.0,37055
1188,NC,Davidson,2.0,800.0,37057
1189,NC,Davie,1.0,112.0,37059
1190,NC,Duplin,1.0,383.0,37061
1191,NC,Durham,3.0,3309.0,37063
1192,NC,Edgecombe,1.0,549.0,37065
1193,NC,Forsyth,3.0,1741.0,37067
1194,NC,Gaston,1.0,2076.0,37071
1195,NC,Granville,1.0,339.0,37077
1196,NC,Guilford,2.0,2710.0,37081
1197,NC,Halifax,2.0,318.0,37083
1198,NC,Harnett,1.0,416.0,37085
1199,NC,Haywood,1.0,507.0,37087
1200,NC,Henderson,2.0,1902.0,37089
1201,NC,Hertford,1.0,493.0,37091
1202,NC,Hoke,1.0,198.0,37093
1203,NC,Iredell,3.0,2020.0,37097
1204,NC,Jackson,1.0,371.0,37099
1205,NC,Johnston,1.0,1288.0,37101
1206,NC,Lee,1.0,494.0,37105
1207,NC,Lenoir,1.0,554.0,37107
1208,NC,Lincoln,1.0,426.0,37109
1209,NC,Macon,2.0,449.0,37113
1210,NC,Martin,1.0,235.0,37117
1211,NC,Mcdowell,1.0,488.0,37111
1212,NC,Mecklenburg,6.0,4368.0,37119
1213,NC,Mitchell,1.0,328.0,37121
1214,NC,Moore,1.0,2162.0,37125
1215,NC,Nash,1.0,1400.0,37127
1216,NC,New Hanover,2.0,4150.0,37129
1217,NC,Onslow,1.0,580.0,37133
1218,NC,Orange,1.0,2679.0,37135
1219,NC,Pasquotank,1.0,635.0,37139
1220,NC,Pender,1.0,75.0,37141
1221,NC,Person,1.0,247.0,37145
1222,NC,Pitt,1.0,3768.0,37147
1223,NC,Polk,1.0,330.0,37149
1224,NC,Randolph,1.0,1012.0,37151
1225,NC,Richmond,1.0,97.0,37153
1226,NC,Robeson,1.0,1341.0,37155
1227,NC,Rockingham,1.0,353.0,37157
1228,NC,Rowan,1.0,599.0,37159
1229,NC,Rutherford,1.0,385.0,37161
1230,NC,Sampson,1.0,329.0,37163
1231,NC,Scotland,1.0,368.0,37165
1232,NC,Stanly,1.0,323.0,37167
1233,NC,Surry,2.0,1144.0,37171
1234,NC,Swain,2.0,168.0,37173
1235,NC,Transylvania,1.0,357.0,37175
1236,NC,Union,1.0,549.0,37179
1237,NC,Vance,1.0,589.0,37181
1238,NC,Wake,4.0,6912.0,37183
1239,NC,Watauga,1.0,636.0,37189
1240,NC,Wayne,1.0,2008.0,37191
1241,NC,Wilkes,1.0,364.0,37193
1242,NC,Wilson,1.0,691.0,37195
1243,ND,Adams,1.0,163.0,38001
1244,ND,Barnes,1.0,50.0,38003
1245,ND,Burleigh,2.0,1777.0,38015
1246,ND,Cass,2.0,2642.0,38017
1247,ND,Cavalier,1.0,50.0,38019
1248,ND,Foster,1.0,83.0,38031
1249,ND,Grand Forks,2.0,2428.0,38035
1250,ND,Grant,1.0,50.0,38037
1251,ND,Mcintosh,2.0,58.0,38051
1252,ND,Pembina,1.0,57.0,38067
1253,ND,Pierce,1.0,59.0,38069
1254,ND,Rolette,2.0,50.0,38079
1255,ND,Stark,1.0,347.0,38089
1256,ND,Stutsman,1.0,181.0,38093
1257,ND,Towner,1.0,50.0,38095
1258,ND,Traill,2.0,50.0,38097
1259,ND,Walsh,2.0,113.0,38099
1260,ND,Ward,2.0,822.0,38101
1261,ND,Wells,1.0,79.0,38103
1262,ND,Williams,2.0,363.0,38105
1263,NE,Adams,1.0,651.0,31001
1264,NE,Antelope,1.0,50.0,31003
1265,NE,Boone,1.0,163.0,31011
1266,NE,Box Butte,1.0,145.0,31013
1267,NE,Buffalo,2.0,1823.0,31019
1268,NE,Butler,1.0,124.0,31023
1269,NE,Chase,1.0,50.0,31029
1270,NE,Cherry,1.0,121.0,31031
1271,NE,Cheyenne,1.0,117.0,31033
1272,NE,Cuming,1.0,142.0,31039
1273,NE,Custer,2.0,156.0,31041
1274,NE,Dawes,1.0,101.0,31045
1275,NE,Dawson,3.0,263.0,31047
1276,NE,Dodge,1.0,312.0,31053
1277,NE,Douglas,10.0,11950.0,31055
1278,NE,Fillmore,1.0,143.0,31059
1279,NE,Furnas,1.0,89.0,31065
1280,NE,Gage,1.0,243.0,31067
1281,NE,Hall,1.0,688.0,31079
1282,NE,Hamilton,1.0,67.0,31081
1283,NE,Harlan,1.0,50.0,31083
