,State,County,Hospital,Number of Completed Surveys,FIPS
147,CA,Modoc,2.0,50.0,06049
148,CA,Mono,1.0,141.0,06051
149,CA,Monterey,4.0,2521.0,06053
150,CA,Napa,2.0,1576.0,06055
151,CA,Nevada,2.0,1087.0,06057
152,CA,Orange,27.0,31515.0,06059
153,CA,Placer,3.0,6885.0,06061
154,CA,Plumas,3.0,62.0,06063
155,CA,Riverside,16.0,18716.0,06065
156,CA,Sacramento,9.0,18484.0,06067
157,CA,San Benito,1.0,275.0,06069
158,CA,San Bernardino,18.0,18615.0,06071
159,CA,San Diego,16.0,29105.0,06073
160,CA,San Francisco,10.0,9476.0,06075
161,CA,San Joaquin,7.0,5483.0,06077
162,CA,San Luis Obispo,3.0,2054.0,06079
163,CA,San Mateo,7.0,6822.0,06081
164,CA,Santa Barbara,5.0,6309.0,06083
165,CA,Santa Clara,10.0,13980.0,06085
166,CA,Santa Cruz,3.0,2344.0,06087
167,CA,Shasta,4.0,1773.0,06089
168,CA,Siskiyou,2.0,476.0,06093
169,CA,Solano,4.0,5012.0,06095
170,CA,Sonoma,8.0,6059.0,06097
171,CA,Stanislaus,5.0,4481.0,06099
172,CA,Sutter,1.0,195.0,06101
173,CA,Tehama,1.0,345.0,06103
174,CA,Tulare,4.0,2727.0,06107
175,CA,Tuolumne,1.0,872.0,06109
176,CA,Ventura,7.0,5566.0,06111
177,CA,Yolo,2.0,856.0,06113
178,CA,Yuba,1.0,266.0,06115
179,CO,Adams,5.0,7003.0,08001
180,CO,Alamosa,1.0,295.0,08003
181,CO,Arapahoe,3.0,2748.0,08005
182,CO,Archuleta,1.0,80.0,08007
183,CO,Boulder,4.0,3682.0,08013
184,CO,Broomfield,1.0,324.0,08014
185,CO,Chaffee,1.0,209.0,08015
186,CO,Delta,1.0,398.0,08029
187,CO,Denver,6.0,8175.0,08031
188,CO,Douglas,3.0,1873.0,08035
189,CO,Eagle,1.0,482.0,08037
190,CO,El Paso,2.0,4902.0,08041
191,CO,Fremont,1.0,245.0,08043
192,CO,Garfield,2.0,698.0,08045
193,CO,Gunnison,1.0,136.0,08051
194,CO,Jefferson,3.0,2761.0,08059
195,CO,Kit Carson,1.0,50.0,08063
196,CO,La Plata,2.0,557.0,08067
197,CO,Larimer,5.0,7111.0,08069
198,CO,Las Animas,1.0,96.0,08071
199,CO,Logan,1.0,254.0,08075
200,CO,Mesa,3.0,2727.0,08077
201,CO,Moffat,1.0,148.0,08081
